evaluate_agent (LunarLanderContinuous-v2)
global_step=97592, episodic_return=[34.37769]
global_step=97968, episodic_return=[-159.94742]
SPS: 1263
global_step=99240, episodic_return=[60.091423]
global_step=100580, episodic_return=[53.56601]
global_step=101592, episodic_return=[26.859095]
global_step=101968, episodic_return=[-32.233143]
global_step=103240, episodic_return=[82.220764]
global_step=104580, episodic_return=[-45.151398]
global_step=105592, episodic_return=[-45.563084]
global_step=105968, episodic_return=[33.902683]
SPS: 1267
global_step=106696, episodic_return=[-161.40417]
global_step=107240, episodic_return=[-13.159026]
global_step=109592, episodic_return=[81.75335]
global_step=109968, episodic_return=[98.364075]
global_step=110696, episodic_return=[-52.655304]
global_step=111240, episodic_return=[-2.1291108]
global_step=113592, episodic_return=[62.40024]
global_step=113968, episodic_return=[55.878063]
global_step=114424, episodic_return=[-238.20844]
SPS: 1246
global_step=115240, episodic_return=[-16.266068]
global_step=116752, episodic_return=[-163.85364]
global_step=117592, episodic_return=[64.64997]
global_step=117968, episodic_return=[86.05987]
global_step=119240, episodic_return=[61.62391]
global_step=120752, episodic_return=[-71.121346]
global_step=121592, episodic_return=[53.469208]
global_step=121968, episodic_return=[65.22646]
global_step=122020, episodic_return=[-72.287445]
SPS: 1268
global_step=123240, episodic_return=[-25.17951]
global_step=125592, episodic_return=[67.0172]
global_step=125968, episodic_return=[50.760803]
global_step=126020, episodic_return=[-61.612087]
global_step=127048, episodic_return=[-143.0166]
global_step=129592, episodic_return=[76.91491]
global_step=129968, episodic_return=[103.33885]
global_step=130020, episodic_return=[-35.31679]
global_step=131048, episodic_return=[-25.030352]
SPS: 1260
global_step=133592, episodic_return=[141.6217]
global_step=133968, episodic_return=[26.467587]
global_step=134020, episodic_return=[-108.93709]
global_step=135048, episodic_return=[-11.671097]
global_step=137592, episodic_return=[54.294357]
global_step=137968, episodic_return=[55.722206]
global_step=138020, episodic_return=[-26.30787]
global_step=139048, episodic_return=[1.9051337]
SPS: 1281
global_step=141592, episodic_return=[7.522851]
global_step=141968, episodic_return=[49.450375]
global_step=142020, episodic_return=[-41.54308]
global_step=143048, episodic_return=[56.764038]
global_step=145592, episodic_return=[61.101387]
global_step=145968, episodic_return=[24.996866]
global_step=146020, episodic_return=[-6.411453]
global_step=147048, episodic_return=[108.4865]
SPS: 1277
global_step=149592, episodic_return=[84.515015]
global_step=149968, episodic_return=[19.577614]
global_step=150020, episodic_return=[26.886032]
global_step=151048, episodic_return=[113.488495]
global_step=153592, episodic_return=[73.96926]
global_step=153968, episodic_return=[54.760586]
global_step=154020, episodic_return=[-87.063156]
global_step=155048, episodic_return=[26.66035]
SPS: 1261
global_step=157592, episodic_return=[39.989746]
global_step=157968, episodic_return=[43.35604]
global_step=158020, episodic_return=[-26.635098]
global_step=159048, episodic_return=[24.253454]
global_step=161592, episodic_return=[98.24911]
global_step=161968, episodic_return=[55.317417]
global_step=162020, episodic_return=[-24.343513]
global_step=163048, episodic_return=[77.17349]
SPS: 1248
evaluate_agent (LunarLanderContinuous-v2)
